c1,c2,points,freq,mu,var
-D-,-C-,70,0.318516785588958,28.6431161539361,1778.75893641194
-C-,-D-,70,0.310211720669084,23.9606971575623,1300.34984141361
-CH-,-Z-,70,0.310211720669084,23.9712247046438,1301.79283205958
-Z-,-CH-,70,0.288337817288572,25.002339454907,1559.31102505684
-Z-,-C-,70,0.288337817288572,25.002339454907,1559.31102505684
-C-,-Z-,70,0.310211720669084,23.9606971575623,1300.34984141361
-S-,-C-,70,0.318516785588958,27.3201544040239,1625.94510906494
-C-,-S-,70,0.310211720669084,23.9606971575623,1300.34984141361
-CH-,-SH-,70,0.310211720669084,23.9712247046438,1301.79283205958
-SH-,-CH-,70,0.289156626506024,23.6261551058603,1395.08588042091
-SH-,-C-,70,0.289156626506024,23.6261551058603,1395.08588042091
-C-,-SH-,70,0.310211720669084,23.9606971575623,1300.34984141361
